Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739991248.703497,42.360343,-71.094495,3.361038,33.067011,-1.000000,-1.000000,0.800000
1739991248.703687,42.360045,-71.094258,3.624718,34.626435,-1.000000,-1.000000,0.800000
1739991248.715103,42.360045,-71.094258,3.624416,47.902381,-1.000000,-1.000000,0.800000
1739991290.254748,42.360480,-71.094115,3.625015,35.507480,-1.000000,-1.000000,0.800000
1739991310.083249,42.360479,-71.094116,3.624416,55.065759,-1.000000,-1.000000,0.800000
1739991310.460648,42.360751,-71.093669,13.465171,20.431098,-1.000000,-1.000000,0.800000
1739991401.951201,42.360759,-71.093650,13.467284,93.610252,-1.000000,-1.000000,0.800000
1739991401.965807,42.360759,-71.093650,13.467284,93.610292,-1.000000,-1.000000,0.800000
1739991457.610398,42.361885,-71.091061,11.577145,14.000000,66.796875,2.670000,0.800000
1739991459.338430,42.362198,-71.090089,10.664425,49.795171,56.601562,1.810000,0.800000
1739991460.338542,42.361991,-71.091006,4.872219,32.363566,27.773438,1.810000,0.800000
1739991462.031049,42.362049,-71.090975,4.095638,27.080457,91.406250,1.300000,0.800000
1739991513.700574,42.362326,-71.090183,28.438304,38.055510,-1.000000,-1.000000,0.800000
1739991514.260549,42.362326,-71.090183,28.438304,38.081555,-1.000000,-1.000000,0.800000
1739991520.957389,42.362373,-71.090003,25.921453,29.492678,-1.000000,-1.000000,0.800000
