Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739983559.704521,42.360316,-71.094728,9.439821,62.478517,-1.000000,-1.000000,0.900000
1739983587.012860,42.360316,-71.094728,9.439821,62.478517,-1.000000,-1.000000,0.900000
1739983587.047102,42.360250,-71.094704,14.100000,560.152089,-1.000000,-1.000000,0.900000
1739983587.530964,42.360181,-71.094711,3.339710,77.580496,-1.000000,-1.000000,0.900000
1739983587.616376,42.360375,-71.094635,35.645229,24.542518,34.101562,0.790000,0.900000
1739983588.999370,42.360362,-71.094636,8.000000,23.695800,54.492188,0.940000,0.900000
1739983589.999361,42.360253,-71.094567,5.567776,21.876783,56.250000,0.940000,0.900000
1739983590.999353,42.360257,-71.094551,5.224453,21.563982,74.179688,1.250000,0.900000
1739983591.999347,42.360264,-71.094531,4.414181,21.571802,63.632812,1.580000,0.900000
1739983592.999338,42.360269,-71.094516,4.106136,21.578525,73.828125,1.580000,0.900000
1739983593.999839,42.360280,-71.094501,3.629330,21.584962,63.984375,1.580000,0.900000
1739983594.999842,42.360290,-71.094487,3.619808,21.591408,63.984375,1.630000,0.900000
1739983595.999836,42.360201,-71.094434,3.199764,19.870418,63.984375,1.770000,0.900000
1739983596.999845,42.360208,-71.094417,2.545498,19.851869,63.984375,1.770000,0.900000
1739983597.999854,42.360218,-71.094399,1.880276,19.917477,59.062500,1.770000,0.900000
1739983598.999850,42.360228,-71.094382,1.509884,19.978242,63.632812,1.580000,0.900000
1739983599.999859,42.360236,-71.094364,1.141354,20.039252,63.632812,1.590000,0.900000
1739983600.999869,42.360244,-71.094347,1.141354,20.100471,63.632824,1.590000,0.900000
1739983601.999867,42.360287,-71.094416,1.028256,16.709705,79.101575,1.590000,0.900000
1739983602.999874,42.360290,-71.094397,0.821835,16.877389,78.750012,1.470000,0.900000
1739983603.999881,42.360298,-71.094379,1.422817,17.046359,57.656260,1.470000,0.900000
1739983604.999876,42.360309,-71.094357,1.334439,17.203434,56.601575,1.810000,0.900000
1739983605.999882,42.360317,-71.094338,1.432675,17.355558,59.765638,1.810000,0.900000
1739983606.999887,42.360327,-71.094318,1.512448,17.502877,59.414075,1.810000,0.900000
1739983607.999882,42.360382,-71.094247,1.669827,21.767767,56.601574,1.730000,0.900000
1739983608.999877,42.360392,-71.094227,1.549923,21.767767,56.953138,1.830000,0.900000
1739983609.999873,42.360400,-71.094211,1.484310,21.767767,56.953138,1.830000,0.900000
1739983610.999869,42.360407,-71.094197,1.658871,21.767767,56.601573,1.610000,0.900000
1739983611.999864,42.360418,-71.094181,1.689144,21.767767,56.250011,1.610000,0.900000
1739983612.999859,42.360432,-71.094162,1.444729,21.767767,51.679699,1.830000,0.900000
1739983613.999854,42.360446,-71.094144,1.510891,21.767767,47.460949,1.920000,0.900000
1739983614.999849,42.360459,-71.094128,1.334408,21.767767,47.460949,1.920000,0.900000
1739983615.999845,42.360469,-71.094113,1.152554,21.767767,48.515636,1.770000,0.900000
1739983616.999840,42.360479,-71.094097,0.924282,21.767767,52.382824,1.750000,0.900000
1739983617.999834,42.360490,-71.094083,0.747708,21.767767,49.921886,1.690000,0.900000
1739983618.999828,42.360501,-71.094068,0.815365,21.767767,47.460948,1.680000,0.900000
1739983619.999822,42.360514,-71.094055,1.358212,21.767767,49.570323,1.680000,0.900000
1739983620.999817,42.360498,-71.094022,4.235609,14.245954,49.952476,2.021709,0.900000
1739983621.999811,42.360504,-71.094011,4.174966,14.245954,56.408684,1.702295,0.900000
1739983622.999805,42.360521,-71.094001,4.446151,14.245954,45.100385,1.624455,0.900000
1739983623.999800,42.360529,-71.093983,4.462511,14.245954,49.388365,1.703155,0.900000
1739983624.999794,42.360539,-71.093964,4.181452,14.245954,47.939454,1.830676,0.900000
1739983625.999788,42.360552,-71.093947,4.527602,14.245954,46.674531,1.676237,0.900000
1739983626.999782,42.360557,-71.093931,4.564906,14.245955,61.819125,1.743628,0.900000
1739983627.999776,42.360563,-71.093917,4.907186,14.245955,60.531389,1.580197,0.900000
1739983628.999769,42.360570,-71.093902,4.738478,14.245955,54.129310,1.708466,0.900000
1739983629.999764,42.360579,-71.093879,4.586985,14.245955,58.256460,2.150928,0.900000
1739983630.999757,42.360577,-71.093864,4.824098,14.245955,67.167235,1.571743,0.900000
1739983631.999750,42.360587,-71.093844,4.782068,14.245954,57.836701,1.762142,0.900000
1739983632.999744,42.360593,-71.093829,4.852199,14.245954,58.891026,1.750741,0.900000
1739983633.999738,42.360605,-71.093815,5.107101,14.245954,42.291298,1.760287,0.900000
1739983634.999732,42.360612,-71.093797,4.801141,14.245954,50.206093,1.710047,0.900000
