Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739983117.551679,42.362661,-71.089868,3.919488,27.076135,-1.000000,-1.000000,0.950000
1739983171.744881,42.362661,-71.089868,3.919488,27.076135,-1.000000,-1.000000,0.950000
1739983171.773346,42.362645,-71.089389,8.577104,1251.056936,-1.000000,-1.000000,0.950000
1739983172.545093,42.362572,-71.089881,5.731672,40.978031,-1.000000,-1.000000,0.950000
1739983179.061246,42.362539,-71.090042,15.113709,46.650541,-1.000000,-1.000000,0.950000
1739983182.699022,42.362535,-71.090050,15.113701,46.999283,-1.000000,-1.000000,0.950000
1739983188.721029,42.361986,-71.089655,15.113362,73.703645,-1.000000,-1.000000,0.950000
1739983189.832157,42.361975,-71.089648,15.113362,74.805631,-1.000000,-1.000000,0.950000
1739983194.047882,42.362250,-71.090360,9.981128,42.000000,-1.000000,-1.000000,0.950000
1739983197.585490,42.361966,-71.089641,15.113362,60.430492,-1.000000,-1.000000,0.950000
1739983211.446097,42.362288,-71.090702,12.884007,40.000000,-1.000000,-1.000000,0.950000
1739983224.220958,42.362091,-71.090095,15.113388,59.664716,-1.000000,-1.000000,0.950000
1739983231.683913,42.362175,-71.090275,17.917118,50.194788,-1.000000,-1.000000,0.950000
1739983235.697290,42.362103,-71.090456,14.095963,51.136284,-1.000000,-1.000000,0.950000
1739983238.319719,42.361954,-71.090929,14.266523,42.677326,-1.000000,-1.000000,0.950000
1739983241.423151,42.361952,-71.090943,14.724133,44.093264,-1.000000,-1.000000,0.950000
1739983243.422916,42.361931,-71.091005,14.724182,43.371535,-1.000000,-1.000000,0.950000
1739983247.462590,42.361931,-71.091006,14.724182,46.721091,-1.000000,-1.000000,0.950000
1739983253.489030,42.361906,-71.091081,14.724182,49.393428,-1.000000,-1.000000,0.950000
1739983254.195005,42.361899,-71.091132,14.266809,42.376498,-1.000000,-1.000000,0.950000
1739983258.028965,42.361823,-71.091321,14.266298,41.960425,-1.000000,-1.000000,0.950000
1739983264.052230,42.361754,-71.091493,22.340992,43.300402,-1.000000,-1.000000,0.950000
1739983264.803381,42.361868,-71.091388,25.544052,26.535561,-1.000000,-1.000000,0.950000
1739983266.184051,42.361872,-71.091387,25.544056,26.605781,-1.000000,-1.000000,0.950000
1739983266.516720,42.361872,-71.091387,25.544056,26.641830,-1.000000,-1.000000,0.950000
1739983268.521204,42.361874,-71.091390,6.559053,26.909698,-1.000000,-1.000000,0.950000
1739983269.380030,42.361874,-71.091390,6.559053,27.143419,-1.000000,-1.000000,0.950000
1739983275.391978,42.361865,-71.091410,6.558801,34.133281,-1.000000,-1.000000,0.950000
1739983275.915030,42.361748,-71.091641,6.300864,23.602211,-1.000000,-1.000000,0.950000
1739983281.931635,42.361744,-71.091649,6.300871,30.431441,-1.000000,-1.000000,0.950000
1739983282.420414,42.361676,-71.091814,4.440482,16.736345,-1.000000,-1.000000,0.950000
1739983288.435807,42.361676,-71.091815,4.440493,27.572058,-1.000000,-1.000000,0.950000
1739983289.018268,42.361660,-71.091834,4.362825,22.632188,-1.000000,-1.000000,0.950000
1739983295.033552,42.361660,-71.091835,4.362844,30.609803,-1.000000,-1.000000,0.950000
1739983295.594200,42.361558,-71.091984,14.302108,18.425981,-1.000000,-1.000000,0.950000
1739983301.603884,42.361560,-71.091980,14.302256,28.376230,-1.000000,-1.000000,0.950000
1739983309.442265,42.361472,-71.092127,15.968521,21.513964,-1.000000,-1.000000,0.950000
1739983310.798042,42.361479,-71.092138,5.135811,18.862027,-1.000000,-1.000000,0.950000
1739983316.039537,42.361442,-71.092221,14.992425,19.219432,-1.000000,-1.000000,0.950000
1739983316.600424,42.361431,-71.092242,14.719397,19.336436,-1.000000,-1.000000,0.950000
1739983322.643051,42.361429,-71.092281,16.324565,22.009351,-1.000000,-1.000000,0.950000
1739983329.239185,42.361318,-71.092522,13.818019,22.234961,-1.000000,-1.000000,0.950000
1739983335.981383,42.361275,-71.092644,13.093473,21.936937,-1.000000,-1.000000,0.950000
1739983336.462882,42.361264,-71.092667,13.093458,21.236144,-1.000000,-1.000000,0.950000
1739983342.747867,42.361185,-71.092831,7.622125,19.423763,-1.000000,-1.000000,0.950000
1739983343.167234,42.361184,-71.092841,7.622121,19.523937,-1.000000,-1.000000,0.950000
1739983346.992167,42.361166,-71.092881,7.622121,20.953504,-1.000000,-1.000000,0.950000
1739983352.235139,42.361150,-71.092912,7.622018,27.440166,-1.000000,-1.000000,0.950000
1739983358.277436,42.361131,-71.092949,7.622018,32.239229,-1.000000,-1.000000,0.950000
1739983358.697026,42.361095,-71.093017,11.962539,20.416032,-1.000000,-1.000000,0.950000
1739983364.710989,42.361088,-71.093032,11.962501,27.666906,-1.000000,-1.000000,0.950000
1739983365.161815,42.360998,-71.093214,9.598530,18.654693,-1.000000,-1.000000,0.950000
1739983371.173350,42.361002,-71.093205,9.369513,27.206341,-1.000000,-1.000000,0.950000
1739983382.508201,42.360831,-71.093567,16.743611,24.000000,-1.000000,-1.000000,0.950000
1739983386.647419,42.360923,-71.093356,11.734521,39.553976,-1.000000,-1.000000,0.950000
1739983388.304406,42.360655,-71.093582,4.833248,19.867500,199.335938,1.590000,0.950000
1739983389.990384,42.360645,-71.093839,4.695248,28.737407,241.523438,1.730000,0.950000
1739983396.019334,42.360661,-71.093765,3.640237,11.696051,234.843750,1.790000,0.950000
1739983400.368330,42.360646,-71.093832,10.373994,10.582855,234.843750,1.790000,0.950000
1739983408.804132,42.360621,-71.093898,10.373754,26.002427,-1.000000,-1.000000,0.950000
1739983414.832505,42.360593,-71.093971,10.373754,30.127678,-1.000000,-1.000000,0.950000
1739983415.338570,42.360602,-71.094285,4.738466,22.061240,-1.000000,-1.000000,0.950000
1739983421.355676,42.360582,-71.094275,4.141450,27.693137,-1.000000,-1.000000,0.950000
1739983431.314387,42.360513,-71.094571,4.244901,25.057722,-1.000000,-1.000000,0.950000
